cafe_name,post_code,street_address,category,number of chairs
All Bar One,LS2 3AD,"Unit D Electric Press, 4 Millenium Square",ls2 small,140
Cattle Grid,LS2 7DB,"Waterloo House, Assembly Street",ls2 small,20
Chilli White,LS2 7DA,Assembly Street,ls2 small,51
Peachy Keens,LS2 3AD,Electric Press Building,ls2 small,96
Revolution,LS2 3AW,41 Cookridge Street,ls2 small,84
Safran,LS2 7DJ,81 Kirkgate,ls2 small,6
Sandinista,LS2 8JP,5 Cross Belgrave Street,ls2 small,18
The Picture House,LS2 8LW,82 - 90 Merrion Street,ls2 small,20
The Wrens Hotel,LS2 8JD,61A New Briggate,ls2 small,20
Tiger Tiger,LS2 8DY,117 Albion St,ls2 small,118
Barburrito,LS1 8EQ,62 The Headrow,ls1 small,8
Becketts Bank (Wetherspoons),LS1 5HU,28 - 30 Park Row,ls1 small,6
BHS,LS1 5EL,49 Boar Lane,ls1 small,6
"Greggs, Briggate",LS1 6DX,"Unit, 7 Central Arcade",ls1 small,4
Las Iguanas,LS1 2HD,3 Cloth Hall St,ls1 small,4
Patisserie Valerie,LS1 6AD,50A Albion Street,ls1 small,8
San Co Co,LS1 6NU,12 New Briggate,ls1 small,6
Souvlaki restaurant and Bar,LS1 3DW,18 Great George Street,ls1 small,6
"Starbucks, Briggate",LS1 6LQ,80 Briggate,ls1 small,2
"Starbucks, Headrow",LS1 8EQ,13 The Headrow,ls1 small,8
Zizzi Restaurant,LS1 2HD,2 Cloth Hall Street,ls1 small,6
